ano,id_escola,ideb,ensino,rede,nota_saeb_matematica,nota_saeb_lingua_portuguesa
2017,35036812,,fundamental,estadual,,
2011,35036812,,fundamental,estadual,,
2019,35036812,,fundamental,estadual,,
2023,35036812,,fundamental,estadual,,
2013,35036812,,fundamental,estadual,,
2015,35036812,,fundamental,estadual,,
2021,35036821,,medio,estadual,,
2021,35036821,,fundamental,estadual,,
2023,35036973,,medio,estadual,,
2005,35037000,,fundamental,estadual,,
2021,35037000,,fundamental,estadual,,
2023,35037011,,medio,estadual,,
2021,35037011,,fundamental,estadual,,
2023,35037023,,fundamental,estadual,,
2017,35037023,,fundamental,estadual,,
2013,35037023,,fundamental,estadual,,
2023,35037035,,fundamental,estadual,,
2017,35037060,,fundamental,estadual,,
2005,35037060,,fundamental,estadual,,
2019,35037060,,medio,estadual,,
2005,35037072,,fundamental,estadual,,
2005,35037072,,fundamental,estadual,,
2019,35037084,,medio,estadual,,
2005,35037084,,fundamental,estadual,,
2017,35037096,,medio,estadual,,
2005,35037345,,fundamental,estadual,,
2019,35037345,,medio,estadual,,
2017,35037357,,medio,estadual,,
2021,35037357,,medio,estadual,,
2017,35037357,,fundamental,estadual,,
2019,35037370,,medio,estadual,,
2005,35037400,,fundamental,estadual,,
2017,35037400,,fundamental,estadual,,
2005,35037424,,fundamental,estadual,,
2019,35037424,,medio,estadual,,
2017,35037436,,fundamental,estadual,,
2005,35037436,,fundamental,estadual,,
2023,35037436,,medio,estadual,,
2017,35037448,,medio,estadual,,
2005,35037459,,fundamental,estadual,,
2023,35037461,,medio,estadual,,
2019,35037461,,medio,estadual,,
2021,35037461,,fundamental,estadual,,
2021,35037461,,medio,estadual,,
2005,35037618,,fundamental,estadual,,
2021,35037624,,medio,estadual,,
2005,35037624,,fundamental,estadual,,
2005,35037643,,fundamental,estadual,,
2023,35037655,,fundamental,estadual,,
2005,35037655,,fundamental,estadual,,
2005,35037667,,fundamental,estadual,,
2021,35037679,,medio,estadual,,
2019,35037679,,medio,estadual,,
2023,35037679,,medio,estadual,,
2017,35037680,,fundamental,estadual,,
2017,35037709,,fundamental,estadual,,
2023,35037710,,fundamental,estadual,,
2005,35037710,,fundamental,estadual,,
2015,35037710,,fundamental,estadual,,
2005,35037722,,fundamental,estadual,,
2005,35037761,,fundamental,estadual,,
2005,35037783,,fundamental,estadual,,
2023,35037783,,fundamental,estadual,,
2005,35037795,,fundamental,estadual,,
2005,35037801,,fundamental,estadual,,
2023,35038097,,medio,estadual,,
2005,35038118,,fundamental,estadual,,
2005,35038124,,fundamental,estadual,,
2017,35038124,,fundamental,estadual,,
2007,35038124,,fundamental,estadual,,
2017,35038131,,medio,estadual,,
2021,35038131,,medio,estadual,,
2005,35038131,,fundamental,estadual,,
2021,35038143,,fundamental,estadual,,
2005,35038143,,fundamental,estadual,,
2021,35038143,,medio,estadual,,
