"","id_escola","ano","idesp"
"538",35000747,2011,1.64
"539",35000747,2012,1.43
"540",35000747,2013,1.87
"541",35000747,2014,1.7
"542",35000747,2015,2.28
"543",35000747,2016,2.22
"544",35000747,2017,2.02
"545",35000747,2018,2.6
"546",35000747,2019,1.77
"547",35000760,2007,1.47
"548",35000760,2008,1.44
"549",35000760,2009,2.34
"550",35000760,2010,1.81
"551",35000760,2011,1.82
"552",35000760,2012,1.91
"553",35000760,2013,1.5
"554",35000760,2014,1.6
"555",35000760,2015,1.99
"556",35000760,2016,2.05
"557",35000760,2017,2.26
"558",35000760,2018,2.98
"559",35000760,2019,2.69
"560",35000796,2007,0.95
"561",35000796,2008,1.22
"562",35000796,2009,1.66
"563",35000796,2010,1.34
"564",35000796,2011,1.26
"565",35000796,2012,1.16
"566",35000796,2013,1.64
"567",35000796,2014,1.08
"568",35000796,2015,1.57
"569",35000796,2016,1.54
"570",35000796,2017,2.06
"571",35000796,2018,1.75
"572",35000796,2019,1.26
"573",35000802,2007,1.02
"574",35000802,2008,1.41
"575",35000802,2009,1.59
"576",35000802,2010,1.87
"577",35000802,2011,1.56
"578",35000802,2012,1.64
"579",35000802,2013,1.04
"580",35000802,2014,1.3
"581",35000802,2015,1.91
"582",35000802,2016,1.95
"583",35000802,2017,2.2
"584",35000802,2018,2.25
"585",35000802,2019,1.81
"586",35000814,2007,0.56
"587",35000814,2008,1.45
"588",35000814,2009,1.91
"589",35000814,2010,1.3
"590",35000814,2011,0.98
"591",35000814,2012,1.83
"592",35000814,2013,1.17
"593",35000814,2014,1.01
"594",35000814,2015,1.95
"595",35000814,2016,1.34
"596",35000814,2017,1.51
"597",35000814,2018,1.84
"598",35000814,2019,0.98
"599",35000838,2007,1.14
"600",35000838,2008,1.62
"601",35000838,2009,1.61
"602",35000838,2010,1.25
"603",35000838,2011,1.22
"604",35000838,2012,2.11
"605",35000838,2013,2.08
"606",35000838,2014,1.42
"607",35000838,2015,1.82
"608",35000838,2016,1.41
"609",35000838,2017,2.13
"610",35000838,2018,2.19
"611",35000838,2019,2.31
"612",35000848,2007,1.64
"613",35000848,2008,1.62
"614",35000848,2009,1.94
"615",35000848,2010,1.51
